ID_KIID,ID_ZESPOLU,NAZWA_PLIKU
342,13,20190716_Noble_Fund_Timingowy_KIID.pdf
343,13,d3453c9a-9b0d-4cfc-80c5-1e8269fdc125.pdf
344,13,a48b0593-f8d8-4aed-9cfc-2fc748576b94.pdf
345,13,KIID_PFR_PPK_2030_2022-09-23.pdf
346,13,KIID_BNP_Parasol_Aqua_2022-09-21.pdf
347,13,20190716_Noble_Fund_Africa_and_Frontier_KIID.pdf
348,13,Noble_Fund_Africa_and_Frontier_20180219.pdf
349,13,Noble_Fund_Strategii_Mieszanych_20210101.pdf
350,13,6ee37c98-99b2-4991-96b2-0e6672722ddf.pdf
351,13,2013_04_30_Noble_Fund_Africa_KIID.pdf
352,13,Open_Finance_Akcji_MIS_20200101.pdf
353,13,KIID_VIG07B_2022-07-01.pdf
354,13,2014_03_19_Noble_Fund_Global_Return_KIID.pdf
355,13,Noble_Fund_Strategii Dluznych_20220201.pdf
356,13,57785426d1364f53748304171f17395278e68eb8.pdf
357,13,KIID_BNP_Parasol_MiSS_2022-09-21.pdf
358,13,20200217_Noble_Fund_Strategii_Dluznych_KIID.pdf
359,13,Noble_Fund_Stabilny_20210217.pdf
360,13,cfbe9f6f-2dc0-4120-857a-d6cd244aff2d.pdf
361,13,2022-09-21_bps2045.pdf
362,13,40dca97b-7b67-4b16-895c-51b8ead19ac4.pdf
363,13,be9c3922-d3ad-43b4-9717-4d0cd8e351b8.pdf
364,13,20200101_Noble_Fund_Akcji_MiSS_KIID.pdf
365,13,fc8a4942-a285-4372-8671-9283d5d7dc6f.pdf
366,13,4d53840381030d33bf244c7517e09c0e147a8ea9.pdf
367,13,20200619_Noble_Fund_Africa_and_Frontier_KIID.pdf
368,13,7d49ee1aad6a67d3999bf816c384cb21651cb672.pdf
369,13,2013_04_29_Noble_Fund_Africa_KIID.pdf
370,13,KIID_AP_GHYB.pdf
371,13,KIID_BNP_Parasol_AZL_2022-09-21.pdf
372,13,KIID_BNP_Parasol_KFD_2022-09-21.pdf
373,13,Noble_Fund_Strategii_Mieszanych_20220101.pdf
374,13,d253d653-ed38-4d2c-a3bc-945045da0e91.pdf
375,13,KIID_AMiS.pdf
376,13,KIID_PFR_PPK_2060_2022-10-04.pdf
377,13,Noble_Fund_Emerytalny_20220624.pdf
378,13,776dbbbc-256b-4ce9-8a10-33db2408888b.pdf
379,13,2015_02_19_Noble_Fund_Mieszany_KIID.pdf
380,13,Noble_Fund_Stabilny_20211201.pdf
381,13,2014_05_30_Noble_Fund_Stabilnego_Wzrostu_Plus_KIID.pdf
382,13,07d397d8-cbc6-4a85-a1d6-52419349b37e.pdf
383,13,Noble_Fund_Pieniezny_20180104.pdf
384,13,2022-09-21_bps2060.pdf
385,13,43f99855-f438-4099-adbe-ff75ca7351a1.pdf
386,13,Allianz_TFI_KIID_2065.pdf
387,13,Noble_Fund_Akcji_Europejskich_20220201.pdf
388,13,8cefe6fc-813c-4624-b742-6d2919e0e471.pdf
389,13,KIID_ADEFM.pdf
390,13,KIID_ALIOR_Stabilny_na_Przyszlosc_kat.B.26.09.2022.pdf
391,13,19022019_Noble_Fund_Obligacji_KIID.pdf
392,13,2016_01_04_Noble_Fund_Akcji_MiSS_KIID.pdf
393,13,Noble_Fund_Akcji_Polskich_20220624.pdf
394,13,2014_05_30_Noble_Fund_Obligacji_KIID.pdf
395,13,2015_03_30_Noble_Fund_Akcji_KIID.pdf
396,13,KIID_BNP_Parasol_AAT_2022-09-21.pdf
397,13,Noble_Fund_Africa_and_Frontier_20161202.pdf
398,13,KIID_BNP_Paribas_OW_2022-02-21.pdf
399,13,KIID_APGB_ESG.pdf
400,13,Noble_Fund_Akcji_Amerykanskich_20220201.pdf
401,13,KIID_VIG03B_2022-05-27.pdf
402,13,KIID_BNP_Paribas_Ob_2022-09-21.pdf
403,13,quercus_ochrony_kapitalu_kiid.pdf
404,13,Noble_Fund_Konserwatywny_KIID_20200619.pdf
405,13,Open_Finance_Obligacji_20190219.pdf
406,13,KIID_VIG05B_2022-05-27.pdf
407,13,Allianz_TFI_KIID_2025.pdf
408,13,KIID_BNPP_SW_2022-09-21.pdf
409,13,Open_Finance_Aktywnej_Alokacji_20200101.pdf
410,13,20190219_Noble_Fund_Africa_and_Frontier_KIID.pdf
411,13,553892f8-3225-4590-a91a-60af309883f3.pdf
412,13,KIID_ALIOR_Spokojny_dla_Ciebie_kat.B.26.09.2022.pdf
413,13,Open_Finance_Oszczednosciowy_20190719.pdf
414,13,2013_04_29_Noble_Fund_Global_Return_KIID.pdf
415,13,KIID_ASW.pdf
416,13,7913ea4c-0456-42f2-885f-2609b1ea3aa4.pdf
417,13,20e4ab45-e55f-44a8-9de8-1ff62e1b1344.pdf
418,13,KIID_BNP_P_ASD_2022-04-26.pdf
419,13,20190801_Noble_Fund_Konserwatywny_KIID.pdf
420,13,bbb92361153ad9ac749a5c09b04681ea439f6a50.pdf
421,13,d64c00be-d95e-4794-b3d3-89d934dce421.pdf
422,13,20200407_Noble_Fund_Stabilny_KIID.pdf
423,13,KIID_BNP_Parasol_AW-USA_2022-09-21.pdf
424,13,quercus_dluzny_krotkoterminowy_kiid.pdf
425,13,d1ec9dba-6a7a-48eb-b360-f779d2b8f903.pdf
426,13,Noble_Fund_Timingowy_20170220.pdf
427,13,Noble_Fund_Akcji_Polskich_20220201.pdf
428,13,KIID_ALIOR_Globalny_Nowych_Technologii_kat.B.26.09.2022.pdf
429,13,188a1a9f-f762-4e13-9c05-9e69f6ccef8f.pdf
430,13,9e1db890-42ad-413d-9387-af7dd03e5237.pdf
431,13,KIID_AIE.pdf
432,13,Noble_Fund_Akcji_Polskich_20221013.pdf
433,13,20190708_Noble_Fund_Mieszany_KIID.pdf
434,13,Noble_Fund_Akcji_Europejskich_20210217.pdf
435,13,f117da8833b46a64a826c07cfa6fbcc6a6e920b9.pdf
436,13,233d915f42cdb9c3f771cc6372df312e927a541f.pdf
437,13,20200219_Noble_Fund_Stabilnego_Wzrostu_Plus_KIID.pdf
438,13,d4f43ae7520c6d9377687d58565e2ac53186d189.pdf
